,x,y,z
8.8,-0.7509987977,-1.97357203514,0.00151831677303
8.9,-0.750913553784,-1.87744667526,0.00123416613913
9.0,-0.750828309868,-1.78132131539,0.000950015505241
9.1,-0.750743065952,-1.68519595552,0.000665864871347
9.2,-0.750657822036,-1.58907059565,0.000381714237454
9.3,-0.75057257812,-1.49294523577,9.75636035606e-05
9.4,-0.750487334204,-1.3968198759,-0.000186587030333
9.5,-0.750402090288,-1.30069451603,-0.000470737664226
9.6,-0.750316846372,-1.20456915615,-0.000754888298119
9.7,-0.750231602456,-1.10844379628,-0.00103903893201
9.8,-0.75014635854,-1.01231843641,-0.00132318956591
9.9,-0.750061114624,-0.916193076537,-0.0016073401998
10.0,-0.749975870708,-0.820067716664,-0.00189149083369
10.1,-0.749890626792,-0.723942356791,-0.00217564146759
10.2,-0.749805382875,-0.627816996918,-0.00245979210148
10.3,-0.749720138959,-0.531691637046,-0.00274394273537
10.4,-0.749634895043,-0.435566277173,-0.00302809336927
10.4983693414,-0.749549651127,-0.3394409173,-0.00331224400316
